command,text_orig,key,is_skippable,fit_mode,time,intro,volume,a,r,g,b,fadetime,block,image,screenadapt,options,values,references,name,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,Delay,xstrength,ystrength,vibrato,randomness,fadeout,effect,keep,amount,initr,option_number,index,text,jp_text,jp_name,text_match
background,,,,,,,,,,,,,,bg_uptown_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,0,174,,,,False
cameraeffect,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,Grayscale,true,1,,0,175,,,,False
blocker,,,,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,176,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,177,,,,False
playmusic,,$loneliness_loop,,,,$loneliness_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,178,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,179,,,,False
name,他向哪个方向去了？,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,180,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,181,,,,False
name,西方。很快就能到达辉蹄城的禁区。,,,,,,,,,,,,,,,,,,影卫,,,,,,,,,,,,,,,,,,,,0,182,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,183,,,,False
name,......这一切是他谋划好的。为了确认协议签署区的安保情况，莱塔尼亚外扩了冲突禁区，和我们的禁区重叠。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,184,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,185,,,,False
name,我们能够潜入进去，杀死科西切，夺回小姐。,,,,,,,,,,,,,,,,,,影卫,,,,,,,,,,,,,,,,,,,,0,186,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,187,,,,False
name,不。他做好了准备。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,188,,,,False
name,......这次会面，孪生女皇直接派遣了女皇之声，随行的武装力量不在少数。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,189,,,,False
name,女皇们刚登基不久，一旦科西切有意引爆外交冲突，我们一切的逾矩行为都可能成为女皇们彰示威权的借口。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,190,,,,False
name,不能给科西切更多伤害龙门乃至大炎的机会。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,191,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,192,,,,False
name,舅舅！,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,193,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,194,,,,False
name,......,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,195,,,,False
name,晖洁......,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,196,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,197,,,,False
name,舅舅......不要怪小塔！,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,198,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,199,,,,False
name,我没有责怪她。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,200,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201,,,,False
name,......那你骂我吧。,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,202,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,203,,,,False
name,你没有做错什么。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,204,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,205,,,,False
name,我答应她要和她一起走的。可是我害怕了......我......我松开手了。我没和她一起......,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,206,,,,False
name,她的眼神，很害怕。我很害怕，她也很害怕。我......我一定做错了。,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,207,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,208,,,,False
name,......晖洁，这是她的错，不是你的。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,209,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,210,,,,False
name,啊？可，可舅舅你说不会怪她的！,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,211,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,212,,,,False
name,是的，不会。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,213,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,214,,,,False
name,但她......但她不是做错了吗？做错了也......不会被骂吗？,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,215,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,216,,,,False
name,——,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,217,,,,False
name,她不知道真相。这个真相不该被任何人知道，所以她肯定会犯错，哪怕不是现在，将来也会。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,218,,,,False
name,......很多情况下，犯错是不该被责罚的。我们不仅会犯错，还会犯很多错。有些错，我们一定会犯，躲不开，避不过。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,219,,,,False
name,塔露拉只是犯了那个她一定会犯的错。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,220,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,221,,,,False
name,那样的话还叫犯错吗？,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,222,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,223,,,,False
name,是的，依然还是。这片土地不因一件事一定发生就宽容待它。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,224,,,,False
name,严苛的土地，严苛的人民，严苛的统治。除了对错，它们什么都不在乎，好像对错才是它们的生命，而不是呼吸和吞咽......！,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,225,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,226,,,,False
name,......,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,227,,,,False
name,你说的这些我不懂，舅舅。,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,228,,,,False
name,所以......小塔她还会回来吗？,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,229,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,230,,,,False
name,——我不知道，晖洁。我不知道。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,231,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,232,,,,False
name,......呜......那小塔她因为我......不会回来了吗？都怪我......都怪我......小塔......,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,233,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,234,,,,False
name,晖洁！,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,235,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,236,,,,False
name,呜......！,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,237,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,238,,,,False
name,把你的眼泪擦掉。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,239,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,240,,,,False
name,呜，我......,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,241,,,,False
character,,,,,,,,,,,,,,,,,,,char_2005_weiyw_1#5,,,,,,,,,,,,,,,,,,,,0,242,,,,False
name,或者，哭吧。给你五分钟，哭完之后，如果你不再流眼泪了，我就告诉你该怎么办。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,243,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,244,,,,False
name,唔......！,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,245,,,,False
name,......哇......！小塔......！,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,246,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,247,,,,False
,魏彦吾望向天空。他本想弓下身子安慰矮小的女孩，踌躇之后，他觉得自己不配。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,248,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,249,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,250,,,,False
blocker,,,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,251,,,,False
image,,,,,,,,,,,,0,,avg_8_38,,,,,,0,0,1,1,,,,,,,,,,,,,,,,0,252,,,,False
blocker,,,,,,,,0,,,,1.5,false,,,,,,,,,,,,,,,,,,,,,,,,,,0,253,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,254,,,,False
imagetween,,,,,,,,,,,,,false,,,,,,,,,,,1,1,1,1,15,,,,,,,,,,,0,255,,,,False
name,你不哭了。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,256,,,,False
name,......嗯。我想小塔回来。我该怎么办？,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,257,,,,False
name,我会教你很多事，教你怎么管理城市，怎么对抗恶棍，怎么对待朋友。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,258,,,,False
name,照我说的做，塔露拉就有可能回来。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,259,,,,False
name,要，要怎么做？小塔真的可能回来吗？舅舅会不会骗我？,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,260,,,,False
name,......妈妈......妈妈说，说你只会骗人，我......我真可以信你吗？,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,261,,,,False
name,也许吧。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,262,,,,False
name,我也犯下了一个巨大的错误，导致你的母亲终一生都恨我入骨，至死都没能放开。她这么说情有可原。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,263,,,,False
name,但错误是可以被弥补的。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,264,,,,False
name,晖洁，听好。正确行事值得你努力一生，纠正错误，却值得人押上性命。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,265,,,,False
name,塔露拉的离去是一桩错误。这桩错误带来的所有后果，我都会承担。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,266,,,,False
name,而你，晖洁。快快长大吧。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,267,,,,False
name,长大以后会怎么样？,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,268,,,,False
name,你的话，长大的你......就能改变一切。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,269,,,,False
name,真的吗？！,,,,,,,,,,,,,,,,,,陈晖洁,,,,,,,,,,,,,,,,,,,,0,270,,,,False
name,也许。或者说，只要你相信，它就是真的。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,271,,,,False
name,我会教你剑术，晖洁。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,272,,,,False
name,赤霄的剑术。,,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,0,273,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,274,,,,False
blocker,,,,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,275,,,,False
image,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,276,,,,False
,“拔刀之招，当破即破。”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,277,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,278,,,,False
blocker,,,,,,,,,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,279,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,280,,,,False
