command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,name2,duration,xstrength,ystrength,vibrato,randomness,fadeout,focus,options,values,references,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,xFrom,xTo,yFrom,yTo,option_number,index,text,jp_text,jp_name,text_match
name,老陈，他们真的热爱龙门吗？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,161,,,,False
name,你——,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,162,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,163,,,,False
blocker,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,164,,,,False
image,,,,,,,,,,0,,avg_7_3,,,,,,,,,,,,,,,,350,-400,2,2,,,,,,,,,0,165,,,,False
imagetween,,,,,,,,,,,false,,,,,,,60,,,,,,,,,,,-400,2,2,,,,,350,100,,,0,166,,,,False
blocker,,,,,,0,0,0,0,0.6,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,,,,False
name,我啊，是个老套的人。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,168,,,,False
name,漫画，电影，酒，下着雨的街道，匆匆路过的没带伞的人。除了电单车，我都喜欢老套的。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,169,,,,False
name,有些东西在别人看来是很容易过时的。但老陈，我们真能追得上时间吗？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,170,,,,False
name,我不能。我做不到。它走得太快了，它把我看重的许多东西都踩成了碎片。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,171,,,,False
name,剩下的，只有这么多。一道划痕，一个折角，一片黄斑，每一个我都能说上名字。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,172,,,,False
name,我讨厌它。我讨厌时间带走我身边的人。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,173,,,,False
name,他们都为了自己的一处容身之地粉身碎骨，我呢？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,174,,,,False
name,我看着他们一个个消失，被捶打成齑粉，甚至是我动的手，他们的梦想被我亲手砸得粉碎。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,175,,,,False
name,他们不是爱着龙门。他们是无处容身。最后的最后，也是我让他们无处容身。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,176,,,,False
name,你不能再走了，老陈。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,177,,,,False
name,......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,178,,,,False
name,你连阿发的死，连那么多为了龙门城死去的人......都可以装作没看到？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,179,,,,False
name,别觉得自己很懂。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,180,,,,False
name,我和他们处的时间比你久得多，我对他们的理解比你深得多。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,181,,,,False
name,但保护龙门是我的职责。不管谁拦在我面前，我的职责，从来没变。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,182,,,,False
name,还当自己是陈警司？你的职责是谁给你的？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,183,,,,False
name,我自己。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,184,,,,False
name,......我都不知道你是不是想把这话说给自己听。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,185,,,,False
name,你看看你，一个人就救得了龙门？一个人杀得了所有整合运动？耍脾气要有个限度。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,186,,,,False
name,挺有意思。之前是你去执行魏先生的命令，因为你能理解他。现在，变了，是我来执行魏先生的命令，只因为现在我更理解魏先生一点。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,187,,,,False
name,我大概猜得到魏先生的办法。既然有人要死，魏先生只会想自己去。你是陈家血脉，这件事过后，你不会受牵连。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,188,,,,False
name,你说他——,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,189,,,,False
name,魏先生宁愿自己死，也不愿意你死。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,190,,,,False
name,你把他想得太好了。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,191,,,,False
name,你可能也把他想得太不是东西了，老陈。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,192,,,,False
name,如果他想死，那就去死好了。可他死了又能解决得了什么？能有什么用？难道战争就不会开始了？难道龙门就不会首当其冲了？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,193,,,,False
name,他死，龙门不会被人迁怒。我想所有的责任都会随着他本人的死烟消云散。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,194,,,,False
name,怎么可能会这么顺利？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,195,,,,False
name,当然不那么顺利。所以，他要你接班近卫局。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,196,,,,False
name,你会接他的班。近卫局局长的位子迟早是你的，下一步，你会成为这座城市的主人。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,197,,,,False
name,你该去把前前后后的问题，上上下下的遗毒，全都解开。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,198,,,,False
name,我清楚魏先生想做的事。他一直在等一个时候，他的眼神和他的手段，从我认识他那天开始就没变过。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,199,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,200,,,,False
blocker,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201,,,,False
image,,,,,,,,,,0,,avg_7_3,,,,,,,,,,,,,,,,-400,-250,1.5,1.5,,,,,,,,,0,202,,,,False
imagetween,,,,,,,,,,,false,,,,,,,60,,,,,,,,,,,,2,2,,,,,-400,-200,-250,-250,0,203,,,,False
blocker,,,,,,0,0,0,0,0.6,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,204,,,,False
name,......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,205,,,,False
name,龙门还需要你，龙门也不希望你冒这个险。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,206,,,,False
name,我只感觉到一阵恶心。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,207,,,,False
name,魏先生的死也许打动不了你，但他死后，你可以去改变这座龙门城。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,208,,,,False
name,告诉你一个事实吧，星熊。一个我不属于这座城市的原因。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,209,,,,False
name,别骗我，老陈。没人比你更适合这座城。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,210,,,,False
name,我是感染者。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,211,,,,False
name,......什么？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,212,,,,False
name,......,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,213,,,,False
name,......什么时候......？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,214,,,,False
name,三年前。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,215,,,,False
name,你瞒着我？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,216,,,,False
name,我不是故意......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,217,,,,False
name,为什么连我都不能知道......？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,218,,,,False
name,魏彦吾不希望任何人知道。近卫局不能有感染者，所以我不能是。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,219,,,,False
name,星熊，这座城市没有感染者的容身之地。这片大地也没有。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,220,,,,False
name,我已经受够了魏彦吾对我们的操控。我不会再由着他去指使我了。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,221,,,,False
name,不。我知道了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,222,,,,False
name,我总算......总算完完全全地明白，为什么你，老陈，为什么你不能离开龙门了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,223,,,,False
name,......星熊？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,224,,,,False
name,你要是走了，去了核心城，魏先生就不得不把你划成敌人，你不仅是敌人，而且你必须是一个感染者，一个与龙门敌对的危险感染者......,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,225,,,,False
name,整座城就都会知道你是感染者，甚至还会认为你和整合运动同谋。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,226,,,,False
name,覆水难收，你再也回不了这座城市。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,227,,,,False
name,我不在乎。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,228,,,,False
name,这句话是我该说的。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,229,,,,False
name,“你是感染者？我不在乎。”,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,230,,,,False
name,我不在乎，Missy她不在乎，九也不在乎，近卫局也不在乎。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,231,,,,False
name,甚至魏先生都不在乎。他想让你改变这里，而不是赶走你。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,232,,,,False
name,你没看到他对感染者的无情，我看见了。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,233,,,,False
name,至于九，她已经走了。之前她离开近卫局，是因为她也被感染了。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,234,,,,False
name,......九也......,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,235,,,,False
name,现在想想，我和九也许是因为同个任务患上的矿石病。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,236,,,,False
name,她后来是我的线人，表面上加入了整合运动......然后，为了整合运动，她抛弃了龙门。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,237,,,,False
name,因为她看清了这座城市的真相。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,238,,,,False
name,但你根本没背叛龙门。我不会让你背上你没犯下的罪。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,239,,,,False
name,星熊，你觉得......你觉得我为什么要去核心城？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,240,,,,False
name,猜谜我对付不来，说明白点。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,241,,,,False
name,呵.......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,242,,,,False
name,你知道整合运动的领袖是谁吗？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,243,,,,False
name,她的名字我记不得。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,244,,,,False
name,塔露拉。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,245,,,,False
name,Missy没告诉过你？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,246,,,,False
name,告诉我什么？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,247,,,,False
name,塔露拉是我的姐姐。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,248,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,249,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,250,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,251,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,252,,,,False
stopmusic,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,253,,,,False
background,,,,,,,,,,,,bg_turf,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,0,254,,,,False
blocker,,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,255,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,,,,,,,1,,,,,,,,,,,,,,,,0,256,,,,False
name,啊。啊.......哈。我懂了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,257,,,,False
name,老陈，你今天不可能过去。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,258,,,,False
playmusic,,$nervous_loop,,,,,,,,,,,,$nervous_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0,259,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,2,,,,,,,,,,,,,,,,0,260,,,,False
name,......为什么说这种话......？难道我的亲人、我的家人......都不够重要？！,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,261,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,1,,,,,,,,,,,,,,,,0,262,,,,False
name,就因为这样......,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,263,,,,False
name,就因为这样我才不能让你过去。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,264,,,,False
name,即使今天我要死在这里，我也不会让你去。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,265,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,2,,,,,,,,,,,,,,,,0,266,,,,False
name,......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,267,,,,False
name,这事情不是你能决定的，星熊。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,268,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,1,,,,,,,,,,,,,,,,0,269,,,,False
name,般若决定得了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,270,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#2,,,,,,,2,,,,,,,,,,,,,,,,0,271,,,,False
name,——今天挡在我面前，哪怕是场天灾，我也不会乖乖束手就擒，何况是一面盾，一个鬼！,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,272,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#2,,,,,,,1,,,,,,,,,,,,,,,,0,273,,,,False
name,铸造这面盾的工匠被一群流浪的恶鬼杀了满门，他的怨气可比天灾还怨毒得多。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,274,,,,False
name,而这面盾上沾上的鲜血、引起的惨剧......比起天灾都邪恶得多。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,275,,,,False
name,老陈，魏先生不是个好人，我们可以合起来打他一顿。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,276,,,,False
name,你有什么想做的，我陪你去，什么都行。你不是喜欢我那辆哥伦比亚大缸70vv吗？我让给你。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,277,,,,False
name,老陈，不要是现在。不要去。不要逼我。这是我最后一点点想你答应的事。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,278,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,2,,,,,,,,,,,,,,,,0,279,,,,False
name,逼你？你怎么说话像魏彦吾一样？......不要这么说话。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,280,,,,False
name,在魏彦吾动手的时候......不。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,281,,,,False
name,早在他出卖自己兄弟、辜负我的母亲、让这座城市在他灰暗的罪恶里沉睡时，我就已经决定好了。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,282,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,1,,,,,,,,,,,,,,,,0,283,,,,False
name,魏彦吾怎么做，也许你觉得和你有关系，但我觉得和你没有一点关系。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,284,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,2,,,,,,,,,,,,,,,,0,285,,,,False
name,你在说什么......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,286,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,1,,,,,,,,,,,,,,,,0,287,,,,False
name,他所做的、为你做的，和你该做的，一直是两回事。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,288,,,,False
name,魏先生也是这么期望的。他不想做一个坏人，他渴望的不是统治......,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,289,,,,False
name,他把剑给了你。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,290,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,2,,,,,,,,,,,,,,,,0,291,,,,False
name,......你根本就不理解。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,292,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,1,,,,,,,,,,,,,,,,0,293,,,,False
name,——理解什么？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,294,,,,False
name,不止一次，一次，一次又一次......我毁掉自己的家，毁掉自己的家人。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,295,,,,False
name,每次我都沾了一身血，每次我都打到最后，打到只剩我一个人站着。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,296,,,,False
name,就因为我觉得这是对的。就因为我认定那是错的。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,297,,,,False
name,我常常会想，我配活下来吗？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,298,,,,False
name,我不配。但我还是活下来了。我没法再只为自己活着了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,299,,,,False
name,认定对错，所以一脚踏出去......是人一生中能做的最蠢的事。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,300,,,,False
name,后悔的味道一直就留在我的嘴里。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,301,,,,False
name,你以为只有你背负了很多吗，陈大小姐？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,302,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#2,,,,,,,2,,,,,,,,,,,,,,,,0,303,,,,False
name,不要这么说话！,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,304,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#2,,,,,,,1,,,,,,,,,,,,,,,,0,305,,,,False
name,......那为什么不能稍微理解我一点？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,306,,,,False
name,我们同甘共苦这么些年，到底有什么不能敞开说？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,307,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,2,,,,,,,,,,,,,,,,0,308,,,,False
name,我有苦衷，你也有，我们都清楚，可明明知道了......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,309,,,,False
name,可你为什么还是不明白？我没有牵连你们任何一个人，我到底哪里没理解你们？！,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,310,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,1,,,,,,,,,,,,,,,,0,311,,,,False
name,因为我见过太多死得毫无价值的人了。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,312,,,,False
name,我不在乎你的身份，但我在乎你去哪里。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,313,,,,False
name,我不会让你去。敌人的头领做到现在这步，你干什么都改变不了现状，你会白死。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,314,,,,False
name,让你白死，没人想看到。整个近卫局，整个龙门，没人想看到。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,315,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,2,,,,,,,,,,,,,,,,0,316,,,,False
name,——谢谢你，星熊。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,317,,,,False
name,但我一定要去。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,318,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,1,,,,,,,,,,,,,,,,0,319,,,,False
name,当真？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,320,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,2,,,,,,,,,,,,,,,,0,321,,,,False
name,如果真要出剑，我不会怕你。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,322,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,1,,,,,,,,,,,,,,,,0,323,,,,False
name,一定要过，是吗？你是不是觉得自己现在的心硬得像块铁？,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,324,,,,False
name,我之前就和你说过，你会沉浸在自己一个人的想法里，看不到周围的一切，看不到别人为你努力了多少。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,325,,,,False
name,一意孤行只会害了你。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,326,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,2,,,,,,,,,,,,,,,,0,327,,,,False
name,哼。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,328,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#5,,,,,,,1,,,,,,,,,,,,,,,,0,329,,,,False
name,罢了。只有被狠狠捶打过一遍，你才会像过去的我一样，知道自己那些可笑的执着都不过是些冲动。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,330,,,,False
name,既然你想打，老陈......就让我看看你比起过去两年成长了多少。,,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,0,331,,,,False
character,,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1#4,,,,,,,2,,,,,,,,,,,,,,,,0,332,,,,False
name,不 要 这 么 说 话。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,0,333,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,334,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,335,,,,False
blocker,,,,,,1,0,0,0,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,336,,,,False
name,EX-42 源石技艺远程操作型器械，使用者迷迭香，请批准。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,337,,,,False
name,允许在防卫战中运用，已批准带离。,,,,,,,,,,,,,,,PRTS,,,,,,,,,,,,,,,,,,,,,,,,0,338,,,,False
name,运用人：歼灭战专员，罗德岛精英干员迷迭香，已批准开启。,,,,,,,,,,,,,,,PRTS,,,,,,,,,,,,,,,,,,,,,,,,0,339,,,,False
name,嗯，那我去了。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,340,,,,False
name,罗德岛舰船的启动，麻烦你们转告可露希尔。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,0,341,,,,False
name,博士，快快，快退进舱门。别看啦。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,342,,,,False
name,要是你被迷迭香战斗时迸出来的碎片打到，很可能会死喔。,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,0,343,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,344,,,,False
blocker,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,345,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,346,,,,False
